rut_autor,nombre_autor,correo_autor
62127144K,Sandra Emma Peña Riquelme,robertmora@example.com
10266325K,Constanza Ignacia Flores Mamani,mariagajardo@example.org
44991130K,Sergio Villar Aravena,fresia48@example.org
820751817,Luis Jorge Mansilla González,mgonzalez@example.com
206653760,Juan Máximo Castillo Encina,baezamaria@example.net
411682706,Tomás Juan Ponce Briceño,luisgomez@example.net
554810845,Fabiola Marta Quezada Yáñez,luisalarcon@example.net
894585498,Sandra Anaís Ramos Quinteros,leonvirginia@example.org
281626892,Nolberto Hernán Flores Rebolledo,cristobal00@example.org
448491692,Bernardita Aburto,fuentesgerman@example.org
337249019,Miguel Iván Urzúa Márquez,cespinoza@example.org
136369180,Esteban Muñoz Carvajal,figueroacesar@example.org
433283686,Cecilia Ema Ávila Mora,anahi40@example.net
813881683,Héctor Miranda Mardones,jmoreno@example.com
535380759,Benedicto Brayan Caballero Uribe,abnerhernandez@example.org
780435240,Clara Martinez-González Moncada,ogaldames@example.net
247812792,Marcela Constanza Rivera Maturana,snavarro@example.net
58335994K,Agustina Alvarado Navarro,liliana77@example.net
81776309K,Julio José Ríos Manríquez,bobadillavalentina@example.com
894543477,José González,kcisternas@example.com
30894235,Elizabeth Castillo Mancilla,osvaldo17@example.org
965699163,Ámbar Gallardo Durán,rcartes@example.com
412484177,Paulino Ruiz,oyarzunjose@example.com
14831800K,Gabriel Astorga Álvarez,nayarethcancino@example.org
908045521,Violeta Isidora Sierra Gómez,cordovajacqueline@example.com
40280022,José Enrique Castillo Barra,danielserrano@example.com
841340957,Pamela Gómez Bustos,sebastian79@example.com
88072794K,Santiago Roberto Ortiz Soto,riquelmemartin@example.net
45442638K,Santiago Espinoza Huerta,sormeno@example.com
483805144,Antonia Becerra,cvalencia@example.net
867887555,Juan Vicencio Palma,javiera34@example.net
63569338K,Matilde Sonia Acevedo Rebolledo,marquezpaola@example.org
8260927K,Eduardo Julio Carreño Berríos,danitzamendoza@example.org
832068888,Francisca María Ponce Rodríguez,sepulvedajose@example.org
605095097,Guido Mario Zapata Castro,umaturana@example.org
544341413,Cristóbal Miguel Hernández Oyarzo,ogonzalez@example.net
641533807,Juan Soto-García Cáceres,rafael50@example.com
263039130,Alicia Sandra Alfaro Muñoz,cpulgar@example.com
651389399,Juan Araya Cáceres,reyesfrancisca@example.org
14792870K,Albert José Vergara Díaz,zloyola@example.net
4192060,Luciano Reynaldo Pérez Quiroga,zambranoangel@example.com
276274759,Carolina Luz Yáñez Lazo,sandra13@example.org
356494059,Juan Christian Herrera Donoso,natalia51@example.com
677491922,Luz Marisol Silva Araya,psanchez@example.org
429852927,Manuel Gabriel Morales Rodríguez,isuazo@example.net
276553070,Laura María Veas Jorquera,dcanales@example.org
784035131,Emily María Carvajal Poblete,javier38@example.net
474597954,Alfonso Oscar Tapia Rojas,lazojuan@example.net
545380072,Raúl Peña,ouribe@example.org
915611370,Felipe Cuevas Cisternas,rcortes@example.org
