id_articulo,rut_autor,correo_contacto,userid_contacto,password_contacto
00019,14831800K,nayarethcancino@example.org,gabriel1483,0x2e753011fad147119ff4f09be23880b4
00020,263039130,cpulgar@example.com,alicia2630,0xa8ede3f50f0b4e99a54bf7f2fa600daf
00021,605095097,umaturana@example.org,guido6050,0xb71e1eaf8d4e4c0e8b176f3d0f535e47
00022,545380072,ouribe@example.org,raúl5453,0x98593052312f4607a78c10f7ceacfc94
00023,894543477,kcisternas@example.com,josé8945,0xdd0b465ec0824262934ed4c80924fe52
00024,544341413,ogonzalez@example.net,cristóbal5443,0xa60b98da701046b393e143ef406f8d73
00025,894543477,kcisternas@example.com,josé8945,0x735181766a91488dbc588b004be57349
00026,30894235,osvaldo17@example.org,elizabeth3089,0xb16e5dd50eb342a4adf445505751c742
00027,63569338K,marquezpaola@example.org,matilde6356,0x86f54e36a689419da925c5ea16172070
00028,356494059,natalia51@example.com,juan3564,0x4618051b244e43cb83c384e91725c25b
00029,247812792,snavarro@example.net,marcela2478,0x2947454088a3493da0a3544333fb41a7
00030,281626892,cristobal00@example.org,nolberto2816,0x1bc0ce522b9b4f84b33fb95220fedd46
00031,965699163,rcartes@example.com,ámbar9656,0x9f8683751b534c43aa3571047dd950e8
00032,429852927,isuazo@example.net,manuel4298,0x52aa851f499741488cec4a1b736dc00e
00033,206653760,baezamaria@example.net,juan2066,0xb1653721e54241f8a78d6cb504fa3114
00034,247812792,snavarro@example.net,marcela2478,0xab5a76bf91894d21af2c47e25f309607
00035,915611370,rcortes@example.org,felipe9156,0x46d09f7ee59544f39faa8f0a708db358
00036,841340957,sebastian79@example.com,pamela8413,0x4d7bda02ab2747f29c61f801fb46fe8b
00037,276553070,dcanales@example.org,laura2765,0x41087d9ab6184fa2901f4f5a67c845b8
00038,14831800K,nayarethcancino@example.org,gabriel1483,0xb297ddb3be944f3b87c175bee67836c7
00039,651389399,reyesfrancisca@example.org,juan6513,0x06e569576d944cfda2be2f1fef28fa5b
00040,820751817,mgonzalez@example.com,luis8207,0x1344dba5b01947a78ea19217eddda18d
00041,483805144,cvalencia@example.net,antonia4838,0x2781d7a5829043beb5a294653e6a69c6
00042,535380759,abnerhernandez@example.org,benedicto5353,0x736b83aa762b4495959a872313c55e7f
00043,545380072,ouribe@example.org,raúl5453,0x150e45623c744d738c3550b2ffa44f6f
00044,40280022,danielserrano@example.com,josé4028,0x193a6b41b2f24b9e833f24d425b6a628
00045,281626892,cristobal00@example.org,nolberto2816,0xcdc3c6e6514b4250b5fb88a1403c173e
00046,263039130,cpulgar@example.com,alicia2630,0xcf0d2f6131fa4c8789da9148794b46a5
00047,544341413,ogonzalez@example.net,cristóbal5443,0x507d135a8167459da41cb0a5a40d5562
00048,337249019,cespinoza@example.org,miguel3372,0x5b30f8e9eb454cd9848795d2c331489c
