rut_autor,nombre_autor,correo_autor,rol_autor,usuario_autor,contraseña_autor
341475651,Francisco Paredes-Madariaga,opizarro@example.org,,francisco3414,08841406bba74c339c92e9bd78e47b02
72906659,Maximiliano Felipe Carrasco Contreras,orellanahector@example.org,,maximiliano7290,b51f680cda40408aabacee8394bdcb92
302828210,Guillermo Miguel Norambuena-Navarrete Valdés,luis50@example.net,,guillermo3028,9e6804deadc94da6a1a2e5b8a59ac859
68994955K,Aurora Kiara Aros Riquelme,javiergonzalez@example.net,,aurora6899,2da4c260ab924813b5fcd0a64d3df5be
995823489,Gabriel Mario Araneda Vera,qfernandez@example.net,,gabriel9958,47b705f006714aa58c9921dc98b92928
885353193,Vicente Lucas Rebolledo Donoso,gmoraga@example.net,,vicente8853,55633bb190e94b10ab17b51e284dfdda
667275652,Isidora Ana Silva Matus,ccarreno@example.net,,isidora6672,1d392c9e0fda450ca86e49e6adbea307
810235977,Jorge Nelson Olivares Cabezas,fernandodiaz@example.net,,jorge8102,b96eeff0b9674d80881144350b7dc38b
228295434,Julio Valdés Garrido,alicia17@example.com,,julio2282,91bc118b38fe4a7c85a0e4a1d8afb1f8
884219450,Lourdes Cindy Tello Moreno,tomas06@example.net,,lourdes8842,b08c470ed62c431a8cc42b8c443c306e
475762630,Jenny Priscila Rodríguez Collao,villarconstanza@example.net,,jenny4757,4e7cca9a54854327a18cf81b5b47a3de
93138597,Sergio James Paz Quezada,wmeza@example.net,,sergio9313,842b490d018f4b32818f990e95715357
41607092K,Jacqueline Sofía Moraga Segura,estebanburgos@example.org,,jacqueline4160,99226cd371dc4fdf9c75a0a6e9bc149e
878561724,Natalia Bárbara Riquelme Oyarzún,hvidal@example.net,,natalia8785,05c10eeffec243ddb823600c54ec6b30
450447250,Carlos Matías Vergara Valenzuela,ruben94@example.com,,carlos4504,06855d2841024234ba014b2af27918dd
325594802,Myriam Catalina Vega Barrientos,perezmiriam@example.net,,myriam3255,270c9acdabdb46cfbf4fffcf9d056beb
274582723,Millaray Javiera Aburto Arcos,sepulvedaolga@example.net,,millaray2745,e4095e70d4f34c6593bcc5c9236919cd
976825403,Josefa Tiare Fernández Saavedra,fvergara@example.com,,josefa9768,d9d48bb35d2049388641b3f697592566
1087422K,Alberto Valenzuela,joaquin21@example.net,,alberto1087,7bbed490057a4e61aa77d7c1ac04aa55
546335453,Victoria María Muñoz Becerra,vivianavalos@example.com,,victoria5463,7f61a07168054e348489b397fba74e89
378441005,Kelly Moya-Quezada Arenas,darling37@example.org,,kelly3784,4c451df796754c839a0e2e805dba45ee
628088977,Vicente Domínguez Gutiérrez,karen58@example.org,,vicente6280,47deaef044a240e0bb532b59c6905745
749170018,Héctor José Pizarro Tapia,belen87@example.org,,héctor7491,e351cc4e7b6e4471914891c25aba5fa7
852929758,Katherine Rosa Riquelme Ramírez,tacosta@example.org,,katherine8529,9c36634b7dee422f99d3ef083ce09904
509856591,Ricardo Jorge Mellado González,franciscoreyes@example.org,,ricardo5098,8371e351aeed499cbca37604ef99f2b3
621217259,Benjamín Maldonado Navarro,thomas35@example.org,,benjamín6212,b3be8d6ccb1749d9912e4699833c0a8d
323039720,Fresia Suazo Sepúlveda,fuentealbajoaquin@example.com,,fresia3230,860ed4c3459b45448e7f00525c5fef20
469447871,Josefa Videla González,lvergara@example.com,,josefa4694,7246b861b8ed4058896a60102087b55d
808858274,Esther María Alfaro Díaz,leonardoalvarez@example.net,,esther8088,ac92df9bce4c4675a53d3319bc106f14
925756369,Jacqueline Fabiola Cárdenas Alarcón,jarabarbara@example.net,,jacqueline9257,059790d8509a4212943f4ddf4084ac44
396652811,Gabriela Leiva Durán,fariasmateo@example.com,,gabriela3966,1f4ee309d00e4a0c90aa9074a365d871
5821518K,Emily Nathaly Navarrete Toro,josefa80@example.org,,emily5821,81a1a78030ef41bcafb14967eb33b5a0
772737807,Oscar Mardones Castro,avilajose@example.com,,oscar7727,535232aeb55c4ed59842790d905a2b58
12924612K,Luis René Varas Guzmán,orivera@example.net,,luis1292,a0c44ea8f80141d78d43a2ac362c49f2
933117235,Víctor Fernando Martínez Astudillo,hormazabalcristian@example.net,,víctor9331,6aaa3a4d54674042b6bacea74403640e
17139576,Humberto Luis Arancibia González,rebolledoconstanza@example.net,,humberto1713,0ae5edc7091b408490afc698a714788e
710109346,Margarita Mondaca Matamala,zsan-martin@example.org,,margarita7101,98d24fbe548a4da9b54319069fd03274
992721383,Alejandra Sanhueza,victor15@example.com,,alejandra9927,a9d2072937734351a5a83e3ec385b661
670864944,Catalina María Torres Moncada,jaimeescobar@example.net,,catalina6708,e794d7c4d6c04046a9ea0e39a9e58c8d
951284580,Alonso Díaz Barrera,marinapino@example.org,,alonso9512,03f2a056f8e04eaf8625afa6f67046c5
871857660,Erica Morales Gómez,josecalderon@example.net,,erica8718,b7ea5e3fa5c045d899b6caa82d67ffcc
932276151,Valentina Riffo,buguenovalentina@example.com,,valentina9322,8bd09131a3614933b713c4f29e71b0b9
958710550,Isabel Carolina Velásquez Figueroa,robertogarrido@example.com,,isabel9587,f7e1ef52baf64850a4db3d654eeb08fc
867210326,Benjamín Víctor Hernández Cepeda,esaavedra@example.org,,benjamín8672,31b7acf3386b4a0eb6547842076a55e4
62147954,Demetrio Roberto Díaz Roa,alvaro26@example.org,,demetrio6214,85469825d55b480d8ff0385cddbcca7d
562795332,Gladys Angélica Herrera Paredes,hipolitoretamal@example.com,,gladys5627,b73312e341ad4d65ab01bcf6586b8c30
816809568,Adriana Pamela González Rosas,juliosilva@example.org,,adriana8168,c64054d879af4492b6f34f0aee65e7af
60186995,Myriam Debora Vega Veloso,jgonzalez@example.net,,myriam6018,ba7a06cdec1d4270990d8a89163e2e25
836210883,Víctor Orlando Marambio Guerra,patriciaponce@example.net,,víctor8362,a7475e799bb54fdcbd269b67a08ba0f4
226183612,Juan Manuel Martinez Caro,marta85@example.org,,juan2261,09b7b5138a3d405e98ea33b4c042eec6
