id_articulo,rut_autor,autor_contacto,usuario_contacto,contraseña_contacto
1,378441005,darling37@example.org,kelly3784,4c451df796754c839a0e2e805dba45ee
2,836210883,patriciaponce@example.net,víctor8362,a7475e799bb54fdcbd269b67a08ba0f4
3,341475651,opizarro@example.org,francisco3414,08841406bba74c339c92e9bd78e47b02
4,976825403,fvergara@example.com,josefa9768,d9d48bb35d2049388641b3f697592566
5,562795332,hipolitoretamal@example.com,gladys5627,b73312e341ad4d65ab01bcf6586b8c30
6,871857660,josecalderon@example.net,erica8718,b7ea5e3fa5c045d899b6caa82d67ffcc
7,302828210,luis50@example.net,guillermo3028,9e6804deadc94da6a1a2e5b8a59ac859
8,546335453,vivianavalos@example.com,victoria5463,7f61a07168054e348489b397fba74e89
9,378441005,darling37@example.org,kelly3784,4c451df796754c839a0e2e805dba45ee
10,710109346,zsan-martin@example.org,margarita7101,98d24fbe548a4da9b54319069fd03274
11,710109346,zsan-martin@example.org,margarita7101,98d24fbe548a4da9b54319069fd03274
12,885353193,gmoraga@example.net,vicente8853,55633bb190e94b10ab17b51e284dfdda
13,836210883,patriciaponce@example.net,víctor8362,a7475e799bb54fdcbd269b67a08ba0f4
14,68994955K,javiergonzalez@example.net,aurora6899,2da4c260ab924813b5fcd0a64d3df5be
15,670864944,jaimeescobar@example.net,catalina6708,e794d7c4d6c04046a9ea0e39a9e58c8d
16,396652811,fariasmateo@example.com,gabriela3966,1f4ee309d00e4a0c90aa9074a365d871
17,836210883,patriciaponce@example.net,víctor8362,a7475e799bb54fdcbd269b67a08ba0f4
18,17139576,rebolledoconstanza@example.net,humberto1713,0ae5edc7091b408490afc698a714788e
19,323039720,fuentealbajoaquin@example.com,fresia3230,860ed4c3459b45448e7f00525c5fef20
20,749170018,belen87@example.org,héctor7491,e351cc4e7b6e4471914891c25aba5fa7
21,932276151,buguenovalentina@example.com,valentina9322,8bd09131a3614933b713c4f29e71b0b9
22,710109346,zsan-martin@example.org,margarita7101,98d24fbe548a4da9b54319069fd03274
23,1087422K,joaquin21@example.net,alberto1087,7bbed490057a4e61aa77d7c1ac04aa55
24,749170018,belen87@example.org,héctor7491,e351cc4e7b6e4471914891c25aba5fa7
25,884219450,tomas06@example.net,lourdes8842,b08c470ed62c431a8cc42b8c443c306e
26,450447250,ruben94@example.com,carlos4504,06855d2841024234ba014b2af27918dd
27,810235977,fernandodiaz@example.net,jorge8102,b96eeff0b9674d80881144350b7dc38b
28,836210883,patriciaponce@example.net,víctor8362,a7475e799bb54fdcbd269b67a08ba0f4
29,871857660,josecalderon@example.net,erica8718,b7ea5e3fa5c045d899b6caa82d67ffcc
30,72906659,orellanahector@example.org,maximiliano7290,b51f680cda40408aabacee8394bdcb92
31,884219450,tomas06@example.net,lourdes8842,b08c470ed62c431a8cc42b8c443c306e
32,836210883,patriciaponce@example.net,víctor8362,a7475e799bb54fdcbd269b67a08ba0f4
33,772737807,avilajose@example.com,oscar7727,535232aeb55c4ed59842790d905a2b58
34,469447871,lvergara@example.com,josefa4694,7246b861b8ed4058896a60102087b55d
35,274582723,sepulvedaolga@example.net,millaray2745,e4095e70d4f34c6593bcc5c9236919cd
36,808858274,leonardoalvarez@example.net,esther8088,ac92df9bce4c4675a53d3319bc106f14
