rut_revisor,id_especialidad_topico
384963978,8
384963978,3
500961252,1
500961252,18
500961252,6
500961252,7
518808435,2
518808435,13
261965569,1
261965569,3
261965569,6
261965569,11
261965569,13
824531293,1
824531293,4
824531293,6
824531293,15
52362735K,3
52362735K,13
52362735K,15
52362735K,17
52362735K,18
429691303,18
429691303,10
429691303,14
429691303,7
813950057,10
813950057,15
764712099,1
764712099,8
764712099,9
764712099,11
764712099,13
706028730,1
706028730,2
706028730,6
706028730,7
706028730,13
170449924,3
170449924,4
170449924,7
170449924,9
170449924,18
288452296,1
288452296,17
288452296,14
118421027,17
118421027,11
118421027,5
118421027,1
604679753,16
604679753,5
604679753,3
604679753,13
463840083,6
108315393,9
108315393,10
108315393,12
579522135,1
579522135,4
579522135,9
579522135,12
579522135,15
745051308,9
745051308,11
745051308,4
745051308,5
563746866,12
563746866,5
482947700,10
482947700,11
482947700,4
482947700,13
717603192,13
717291441,2
717291441,9
717291441,12
717291441,14
717291441,16
847822864,18
847822864,11
847822864,13
847822864,7
801784372,1
801784372,2
801784372,3
801784372,17
801784372,18
76761221,18
76761221,10
76761221,13
308396703,8
719733581,2
719733581,6
719733581,7
719733581,10
719733581,17
502640062,14
502640062,5
502640062,6
502640062,15
7493924,10
723173418,4
723173418,7
723173418,10
723173418,14
723173418,18
533052614,1
310818232,4
310818232,6
310818232,7
310818232,11
310818232,16
424016810,3
468498243,11
468498243,3
468498243,4
468498243,6
82810988K,3
82810988K,14
82810988K,15
82810988K,16
82810988K,17
606167458,2
606167458,3
606167458,7
606167458,15
486934158,6
486934158,7
486934158,11
486934158,15
486934158,16
476744407,14
476744407,7
335015215,16
335015215,4
335015215,13
649665834,2
649665834,5
649665834,11
649665834,15
649665834,18
602868621,16
602868621,10
602868621,11
602868621,4
265376711,8
265376711,5
265376711,6
488481576,16
488481576,7
123403398,17
123403398,3
553961653,8
553961653,4
738874307,8
738874307,17
738874307,11
532645603,18
532645603,15
19348520,9
19348520,10
19348520,12
19348520,14
820677293,13
678358037,15
678358037,13
678358037,7
