id_articulo,rut_autor,correo_contacto,userid_contacto,password_contacto
00019,300450695,xpalma@example.net,manuel3004,0xef362b2bca174a2a96e0af5178a333e3
00020,944014047,zsalamanca@example.com,margarita9440,0x5d923835dec24cbd8b28bbf400cadb04
00021,59463876K,hyanez@example.com,carla5946,0x2943d2325b1a4efc909cc4e6595c8170
00022,642781499,smaldonado@example.net,elizabeth6427,0x5b4a693ddfea4353b53cd3118ac8847c
00023,410807343,isabelrebolledo@example.org,mercedes4108,0x1f5e5b1e16704036b2765d0b0cee2693
00024,226414703,leonulises@example.org,nancy2264,0x1d7d6672c7ff405a8d47273c214f51cd
00025,930328979,ymunoz@example.org,alex9303,0x9a671a338b834a339f39e680623657a7
00026,301319827,gjimenez@example.net,isabel3013,0x05d6ecf45f944ba7bed6e389b8681fed
00027,193231497,sergio82@example.org,daniel1932,0xd083b34cf79a4a72b5342c63393a9648
00028,609125195,trubilar@example.net,josé6091,0xdcba4aff92b24879a509a2add122466a
00029,915647596,sofia21@example.com,raúl9156,0xcf81c37b3162404b9643a04cec05b6d8
00030,193231497,sergio82@example.org,daniel1932,0x8147f386f95e42c79e074de1d5dd3d4b
00031,551518000,reyesraquel@example.com,noelia5515,0xcaa4f1d9323c48749526676aa391a183
00032,193231497,sergio82@example.org,daniel1932,0xe83c58028efd49d6a8a484f2322874ed
00033,193231497,sergio82@example.org,daniel1932,0xf6166b3be5374319b34cf6923d7acac7
00034,272782571,bastian94@example.com,josé2727,0x6781de67a03c42bab6ac8f4e3599b8b6
00035,903550295,agustina56@example.org,cristian9035,0x3b103891a8c441a4bc165198635c511e
00036,74617476,carol92@example.org,makarena7461,0x1f10c81ab3f94ff1a4b0a2d64790f33f
00037,944014047,zsalamanca@example.com,margarita9440,0xf388dcc504964d89a104fbdfd0b2195b
00038,933016870,patriciasoto@example.com,monserrat9330,0xaaa120a7a6da40b2aff29e7168e00c53
00039,903550295,agustina56@example.org,cristian9035,0x0c3bd50fa5414549a5359abde6cb561b
00040,45789371K,castroana@example.net,maría4578,0x171709e704b34fb7abfadb978a714b5d
00041,432618366,mriquelme@example.org,rigoberto4326,0xd8568c77fe0a4877886e3cbc84df7e4c
00042,385379617,narredondo@example.com,ingrid3853,0x7d618e10354e4bd9bafb7210c582e59f
00043,473998734,saragatica@example.com,ignacio4739,0x8b432641531a4b1a8e29044c7617e0ac
