id_articulo,rut_autor,autor_contacto,usuario_contacto,contraseña_contacto
1,64489651K,paloma05@example.org,francesca6448,655dadd5de4e491796cfc5047f107cfe
2,524070782,salgadokatherine@example.com,angélica5240,a86fcbb081984bfe945dedc24ec116c4
3,935795370,sebastianhurtado@example.net,moisés9357,067749bd8ecb43fb9171ea9193c52420
4,524070782,salgadokatherine@example.com,angélica5240,a86fcbb081984bfe945dedc24ec116c4
5,425630652,vilchespedro@example.net,ignacia4256,aed2537f2a2846cbbd8db9177f0bb6eb
6,782561162,javieramunoz@example.net,juan7825,ec20cc4493dc4e38b741e8e09e74027e
7,700692663,ojedasebastian@example.net,jean7006,3f52a877f3ed4b94a2875fdc07564591
8,798742639,laurarodriguez@example.net,jorge7987,d90c9062f97f4f738651ed5a708eb07f
9,93031164,wvillarroel@example.net,claudio9303,d0c6b670278b494ebbdcd9d145a5fc45
10,227170212,conchaalvaro@example.org,adela2271,d679cb31d3ee44e89d5d67c28d784157
11,289404740,blara@example.org,rodrigo2894,e1b21441e72e40c5a7f65e137cef54d1
12,213198033,guillermobaez@example.org,cristóbal2131,0c9b382cc7904fc189a7e18dab14369c
13,798742639,laurarodriguez@example.net,jorge7987,d90c9062f97f4f738651ed5a708eb07f
14,223892892,tomas21@example.org,mario2238,b029604092f443e083cc14d6f5a60172
15,953425289,ramon50@example.org,ana9534,1cac4577a80940a5aaf80baa3692ac3d
16,190120139,nrivera@example.org,rodrigo1901,86f53218f65a465eae71c5c83a165604
17,425630652,vilchespedro@example.net,ignacia4256,aed2537f2a2846cbbd8db9177f0bb6eb
18,93326547,elizabeth64@example.org,carmen9332,92f9a7e008084bf781f458396063f3f5
19,425630652,vilchespedro@example.net,ignacia4256,aed2537f2a2846cbbd8db9177f0bb6eb
20,229847619,pbenavides@example.net,waldo2298,028fc22d64c34847afe31a583f8ce580
21,66170047,lalvarado@example.org,ida6617,726f7ceac40646c8976f2652dc8aba11
22,898410102,matias90@example.org,tiare8984,35a7b7a5187a4f3dbff711e7343e2249
23,852960485,elianacastillo@example.org,joaquín8529,2b27fcd68baf482eb3acb0bd810b132a
24,309309502,xorellana@example.org,katherine3093,ede9decbd40a4dd6b559a9ee0524cd39
25,410363836,jesus87@example.com,josefa4103,f2493a70904248cf9e31813c12edbebb
26,304387807,jaime57@example.net,maritza3043,325d4cab4e3d4689a3079a045a593946
27,93031164,wvillarroel@example.net,claudio9303,d0c6b670278b494ebbdcd9d145a5fc45
28,677821736,scarlett36@example.org,hernán6778,7e0a4eb011e24a00b88ccd60ce20eed5
29,190120139,nrivera@example.org,rodrigo1901,86f53218f65a465eae71c5c83a165604
30,223892892,tomas21@example.org,mario2238,b029604092f443e083cc14d6f5a60172
31,852916346,lizamaalonso@example.com,alejandro8529,e9bc0fa6ef58455885f11e15e79739ce
32,142834979,fierropablo@example.net,josé1428,ec3e32aa9d26413b830f2ebf5bdac22a
33,399298679,natalia53@example.com,rodrigo3992,79eabf3e7d6f4471b73b94d38e5811a5
34,190120139,nrivera@example.org,rodrigo1901,86f53218f65a465eae71c5c83a165604
35,94100011,carolina54@example.net,viviana9410,aca0e3511e344e8c8712727389715ac9
36,480682319,eduardogarrido@example.net,oscar4806,1756586150864d7e82ef95ae5124352a
37,311999419,moralesjulieta@example.com,mario3119,6781f106c1b54aec90c2b9a3179551e0
38,94100011,carolina54@example.net,viviana9410,aca0e3511e344e8c8712727389715ac9
39,807816225,felipe26@example.com,maría8078,b753156e991a402b930bff3864161510
40,798742639,laurarodriguez@example.net,jorge7987,d90c9062f97f4f738651ed5a708eb07f
41,175746935,felipe40@example.com,fabiola1757,d08bebc487f746e38d711fdfa88d318b
42,98491444K,alejandraretamal@example.org,rené9849,0df47f014b6e4161a51fa822eb435bee
43,213198033,guillermobaez@example.org,cristóbal2131,0c9b382cc7904fc189a7e18dab14369c
44,434147972,manuel48@example.com,sandra4341,d94479831559425abf236f39cad975e2
45,932538377,idonoso@example.net,rosa9325,c989d9fb00e748b083cbdd22f7632c7d
46,852960485,elianacastillo@example.org,joaquín8529,2b27fcd68baf482eb3acb0bd810b132a
47,64489651K,paloma05@example.org,francesca6448,655dadd5de4e491796cfc5047f107cfe
48,425630652,vilchespedro@example.net,ignacia4256,aed2537f2a2846cbbd8db9177f0bb6eb
49,98491444K,alejandraretamal@example.org,rené9849,0df47f014b6e4161a51fa822eb435bee
50,425630652,vilchespedro@example.net,ignacia4256,aed2537f2a2846cbbd8db9177f0bb6eb
51,304387807,jaime57@example.net,maritza3043,325d4cab4e3d4689a3079a045a593946
52,475344820,nferreira@example.net,edwin4753,121f102da3d04a818c2a05147cfb8aa2
53,93031164,wvillarroel@example.net,claudio9303,d0c6b670278b494ebbdcd9d145a5fc45
54,410363836,jesus87@example.com,josefa4103,f2493a70904248cf9e31813c12edbebb
55,13402582,yramos@example.org,maría1340,a4000783a79548f49659aba3fe586a35
56,329449696,marialopez@example.com,rosa3294,18f087e03093450288cc7fefe844682e
57,782561162,javieramunoz@example.net,juan7825,ec20cc4493dc4e38b741e8e09e74027e
58,93031164,wvillarroel@example.net,claudio9303,d0c6b670278b494ebbdcd9d145a5fc45
59,329449696,marialopez@example.com,rosa3294,18f087e03093450288cc7fefe844682e
60,66170047,lalvarado@example.org,ida6617,726f7ceac40646c8976f2652dc8aba11
