rut_revisor,id_especialidad_topico
909825660,14
496401530,16
496401530,4
496401530,15
928198014,2
928198014,9
928198014,14
928198014,15
928198014,16
22835581K,15
877648990,18
877648990,6
877648990,7
907304663,18
162244973,16
162244973,18
246261849,9
246261849,11
246261849,7
433800532,1
433800532,10
433800532,13
433800532,17
433800532,18
912363694,16
912363694,17
912363694,2
912363694,5
991843914,1
991843914,6
991843914,7
991843914,9
991843914,12
892844682,5
892844682,8
892844682,13
892844682,15
892844682,18
708305499,8
708305499,2
708305499,3
114634794,16
114634794,1
450557234,1
450557234,7
450557234,11
450557234,12
450557234,17
177614769,8
177614769,17
177614769,2
177614769,1
693767296,17
70958872,1
70958872,13
70958872,6
70958872,17
811361135,1
241803562,16
808227355,10
808227355,11
808227355,4
808227355,13
63303232,17
63303232,11
63303232,9
63303232,15
661478306,1
661478306,9
661478306,11
661478306,14
661478306,18
569915724,2
569915724,3
569915724,10
569915724,11
569915724,12
355429725,18
355429725,11
355429725,5
960262786,2
960262786,3
960262786,11
960262786,13
960262786,16
910763059,11
910763059,14
654001588,16
405734389,16
20964147K,5
20964147K,15
131282516,1
131282516,2
131282516,4
131282516,10
131282516,18
862875117,11
862875117,5
215759008,2
215759008,4
215759008,12
215759008,17
215759008,18
850748896,13
850748896,7
592753936,11
592753936,4
592753936,15
686369072,13
686369072,5
548798477,2
548798477,11
915957536,14
28930715K,9
28930715K,11
28930715K,14
28930715K,1
768141746,3
768141746,7
768141746,8
768141746,12
768141746,15
543383023,11
721081540,10
138996832,3
138996832,6
138996832,7
138996832,10
138996832,14
755771K,8
755771K,10
755771K,6
755771K,14
949663183,2
949663183,8
949663183,10
949663183,16
949663183,18
976806999,12
598225230,18
598225230,4
598225230,6
506342201,18
506342201,3
506342201,12
506342201,7
470086734,9
470086734,3
470086734,13
470086734,17
81249905K,18
81249905K,4
81249905K,13
