id_articulo,rut_revisor,fecha_revision,comentarios,calificacion
1,877648990,2025-02-07,Nobis eaque fugit asperiores dolorem dolor eveniet molestias.,5
1,768141746,2024-05-29,Reprehenderit illo quia praesentium quam labore.,7
1,506342201,2024-12-22,Autem recusandae adipisci reiciendis repellendus consequatur cupiditate.,7
2,892844682,2025-03-07,Commodi rerum accusamus placeat sit consectetur hic explicabo vero dicta.,7
2,592753936,2025-03-19,Enim nobis corrupti nisi optio enim facilis culpa accusantium omnis deserunt.,5
2,808227355,2025-04-02,Hic dignissimos eligendi rem enim dolorum neque quos delectus.,6
3,721081540,2025-03-09,Quos natus error architecto necessitatibus consequuntur ex aliquid.,2
3,862875117,2024-08-28,Rem accusantium incidunt consequuntur eum doloremque voluptate praesentium hic animi quae saepe.,2
3,949663183,2025-01-19,Fugiat harum iusto deserunt corrupti ea eaque dolore aut voluptatem nisi.,4
4,470086734,2025-03-23,Deleniti praesentium sapiente repellat dolorum debitis doloremque repellat et dolores debitis.,4
4,450557234,2025-04-15,In aperiam aliquid tempore id similique consectetur sapiente veniam cupiditate reiciendis in.,7
4,177614769,2025-03-08,Sunt quasi odio qui ex enim.,5
5,569915724,2024-10-07,At quisquam error debitis iusto quia consequuntur.,2
5,949663183,2024-10-03,At nihil recusandae culpa commodi pariatur autem cumque nobis facilis.,3
5,991843914,2024-10-13,Aut laboriosam possimus placeat voluptate quam nulla dicta.,4
6,661478306,2025-04-30,Inventore cupiditate dolore ducimus totam molestias eligendi dolore tenetur vel.,3
6,246261849,2024-10-30,Neque tenetur ratione sapiente est ipsa temporibus accusamus.,1
6,470086734,2025-03-07,Similique repellendus architecto voluptatibus doloremque doloremque sit unde saepe maiores.,1
7,960262786,2025-03-27,Unde quis nemo voluptatum aliquid fugiat commodi beatae porro perferendis consectetur aspernatur.,4
7,708305499,2025-02-02,Enim velit dolores cum perferendis harum.,7
7,215759008,2024-12-18,Distinctio animi deserunt perferendis deleniti aspernatur eius aspernatur nam.,1
8,592753936,2024-12-14,Itaque iste magnam quam temporibus veritatis officia dolor odit consequatur dolorem provident.,1
8,808227355,2025-01-21,Molestiae facilis ab aliquam tenetur expedita commodi.,6
8,470086734,2024-04-15,Optio laudantium voluptatibus autem dignissimos quia doloribus.,7
9,81249905K,2024-09-15,Dicta adipisci deleniti mollitia libero voluptates fuga enim assumenda architecto saepe culpa.,4
9,215759008,2024-10-22,Nihil sint maiores magni hic repellendus ipsa veniam eveniet aut.,3
9,755771K,2025-02-15,Dolorum laborum repellat sed possimus blanditiis nisi odio aliquam hic dolor.,4
10,70958872,2025-04-28,Impedit voluptatem in aperiam quisquam itaque.,6
10,960262786,2025-03-10,Fuga distinctio dolores error enim porro rerum sed corrupti suscipit aliquid quos.,6
10,162244973,2025-05-04,Cum quidem tempora non quibusdam aperiam consequuntur repudiandae quae.,6
11,470086734,2025-01-18,Optio laudantium laboriosam eaque quibusdam illum cumque natus.,1
